package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"11ty__eleventy-img","extracted-with-diagnostics","4.0.9999","@11ty/eleventy-img","34","28","32","2","2","1","0","6","6","0","1","0","0","0","1","0","2","25"
"11ty__eleventy-plugin-directory-output","extracted-with-diagnostics","1.0.9999","@11ty/eleventy-plugin-directory-output","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"11ty__eleventy-plugin-rss","extracted-with-diagnostics","2.0.9999","@11ty/eleventy-plugin-rss","7","7","7","0","0","0","0","7","7","0","0","0","0","0","0","0","0","7"
"1line-aa","extracted","1.0.9999","1line-aa","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"3box","extracted","1.22.9999","3box","69","46","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"a-big-triangle","extracted","1.0.9999","a-big-triangle","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a-star","extracted","0.2.9999","a-star","5","5","5","5","1","1","0","0","0","0","0","0","1","0","0","0","0","4"
"a2hs.js","extracted","0.4.9999","a2hs.js","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"abbrev","extracted","1.1.9999","abbrev","3","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3"
"abs","extracted","1.3.9999","abs","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"abs-svg-path","extracted","0.1.9999","abs-svg-path","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"absinthe__socket","extracted","0.2.9999","@absinthe/socket","34","34","34","5","5","0","0","0","0","0","0","0","0","0","0","0","0","34"
"absolute","extracted","0.0.9999","absolute","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"absolute-url","extracted-with-diagnostics","2.0.9999","absolute-url","2","2","2","0","0","0","0","5","5","1","0","0","0","0","0","0","0","2"
"abstract-leveldown","extracted","7.2.9999","abstract-leveldown","54","32","39","31","6","0","0","0","0","0","0","0","0","0","0","0","15","20"
"abstract-things","extracted","0.9.9999","abstract-things","28","16","28","4","4","0","0","0","0","0","0","0","0","0","0","0","0","16"
"acc-wizard","extracted","0.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"accedo__accedo-one","extracted","4.0.9999","@accedo/accedo-one","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"accept-language-parser","extracted","1.5.9999","accept-language-parser","2","2","2","1","1","1","1","0","0","0","0","1","0","0","1","0","0","1"
"accepts","extracted-with-diagnostics","1.3.9999","accepts","29","29","11","0","0","0","0","5","5","0","0","0","0","0","0","0","28","11"
"accounting","extracted","0.4.9999","accounting","36","18","10","0","0","0","0","0","0","0","0","0","0","0","0","0","16","7"
"accumulator-hash","extracted-with-diagnostics","1.0.9999","accumulator-hash","2","1","2","0","0","0","0","5","5","0","0","0","0","0","0","0","0","1"
"accurate-interval","extracted","1.0.9999","accurate-interval","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"ace","extracted","0.0.9999","ace","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ace-diff","extracted","2.1.9999","ace-diff","10","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"ackee-tracker","extracted","5.0.9999","ackee-tracker","10","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9"
"acl","extracted-with-diagnostics","0.4.9999","acl","78","41","76","12","0","0","0","7","7","0","0","0","0","0","0","0","4","41"
"actioncable","extracted","5.2.9999","actioncable","11","10","10","1","1","0","0","0","0","1","0","0","0","0","0","0","2","8"
"activedirectory2","extracted-with-diagnostics","1.2.9999","activedirectory2","52","26","28","0","0","0","0","5","5","0","0","0","0","0","0","0","24","2"
"activestorage","extracted","5.2.9999","activestorage","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"activex-access","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-adodb","extracted-with-diagnostics","6.1.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-adox","extracted-with-diagnostics","6.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-dao","extracted-with-diagnostics","16.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-diskquota","extracted-with-diagnostics","1.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-excel","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-faxcomexlib","extracted-with-diagnostics","1.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-infopath","extracted-with-diagnostics","3.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-interop","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-iwshruntimelibrary","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-libreoffice","extracted-with-diagnostics","5.3.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-msforms","extracted-with-diagnostics","2.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-mshtml","extracted","4.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"activex-msxml2","extracted-with-diagnostics","6.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-office","extracted-with-diagnostics","16.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-opendssengine","extracted-with-diagnostics","4.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-outlook","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-powerpoint","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-scripting","extracted-with-diagnostics","1.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-shdocvw","extracted-with-diagnostics","1.1.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-shell","extracted-with-diagnostics","1.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-stdole","extracted-with-diagnostics","2.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-vbide","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-wia","extracted-with-diagnostics","2.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"activex-word","extracted-with-diagnostics","14.0.9999","","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"adal-angular","extracted","1.0.9999","adal-angular","62","32","62","0","0","0","0","0","0","1","0","0","0","0","0","0","4","28"
"adblock-rs","extracted-with-diagnostics","0.7.9999","adblock-rs","16","16","16","0","0","0","0","5","5","0","0","0","0","0","0","0","0","16"
"add","extracted","2.0.9999","add","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"add-dom-event-listener","extracted","1.1.9999","add-dom-event-listener","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"add-zero","extracted","1.0.9999","add-zero","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"add2home","extracted","2.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"addons-linter","extracted","6.16.9999","addons-linter","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"addressparser","extracted-with-diagnostics","1.0.9999","addressparser","1","1","1","0","0","0","0","5","5","0","0","0","0","0","0","0","0","1"
"adeira__graphql-global-id","extracted-with-diagnostics","2.1.9999","@adeira/graphql-global-id","4","4","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","4"
"adeira__graphql-resolve-wrapper","extracted-with-diagnostics","0.2.9999","@adeira/graphql-resolve-wrapper","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1"
"adeira__js","extracted","2.1.9999","@adeira/js","9","9","9","2","2","1","0","0","0","0","0","0","0","0","0","1","0","8"
"adeira__murmur-hash","extracted","0.2.9999","@adeira/murmur-hash","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"adeira__test-utils","extracted","0.6.9999","@adeira/test-utils","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"adj-noun","extracted","0.1.9999","adj-noun","9","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"adlib","extracted","3.0.9999","adlib","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"adm-zip","extracted-with-diagnostics","0.5.9999","adm-zip","249","128","227","2","0","0","0","5","5","1","0","0","0","0","0","0","17","116"
"admin-check","extracted","1.1.9999","admin-check","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"adobe__aio-lib-analytics","extracted","3.0.9999","@adobe/aio-lib-analytics","17","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"adobe__ccweb-add-on-sdk","extracted-with-diagnostics","1.3.9999","","0","0","0","0","0","0","0","5","5","1","0","0","0","0","0","0","0","0"
"adobe__es-modules-middleware","extracted-with-diagnostics","1.1.9999","@adobe/es-modules-middleware","1","1","1","0","0","0","0","6","6","1","0","0","0","0","0","0","0","1"
"aes-js","extracted","3.1.9999","aes-js","32","27","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"af-utils__react-table","extracted-with-diagnostics","0.0.9999","@af-utils/react-table","28","14","28","3","1","1","0","3","3","0","0","0","0","0","1","1","1","12"
"af-utils__react-virtual-headless","extracted-with-diagnostics","0.0.9999","@af-utils/react-virtual-headless","20","13","20","3","1","1","0","1","1","0","0","0","0","0","1","1","1","11"
"af-utils__react-virtual-list","extracted-with-diagnostics","0.0.9999","@af-utils/react-virtual-list","33","13","33","3","1","1","0","1","1","0","0","0","0","0","1","1","1","11"
"aframe","extraction-failed","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"africastalking","extracted","0.8.9999","africastalking","66","40","62","0","0","0","0","0","0","0","0","0","0","0","0","0","4","40"
"after-all-results","extracted","2.0.9999","after-all-results","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ag-auth","extracted-with-diagnostics","1.0.9999","ag-auth","4","2","4","0","0","0","0","5","5","0","0","0","0","0","0","0","1","2"
"ag-channel","extracted-with-diagnostics","5.0.9999","ag-channel","159","64","159","33","0","0","0","5","5","0","0","0","0","0","0","0","0","64"
