metric,count
totalExportedCallableDeclarations,145776
exportSignaturePairs,1161271
distinctCallableExports,894014
declarationsWithTypeParameters,22180
declarationsWithOwnTypeParameters,9035
declarationsWithBothPolarities,2558
packagesWithExports,6783
packagesWithTypeParameters,2430
packagesWithBothPolarities,786
genericOnlyThroughEnclosing,12617
firstOrderPotentialDeclarations,272
obtainableRuntimePackages,0
verifiedExecutableExports,0
identity,758
container-element,98
value-to-container,49
multiple-arguments,216
constrained-generic,551
higher-order,1698
overload-or-discriminated,31455
unsupported,131898
