package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
11ty__eleventy-img,extracted-with-diagnostics,34,1,1,0,6
11ty__eleventy-plugin-directory-output,extracted-with-diagnostics,1,1,1,0,1
11ty__eleventy-plugin-rss,extracted-with-diagnostics,7,1,1,0,7
1line-aa,extracted,1,1,1,0,0
3box,extracted,69,1,1,0,0
a-big-triangle,extracted,1,1,1,0,0
a-star,extracted,5,1,1,0,0
a2hs.js,extracted,1,1,1,0,0
abbrev,extracted,3,1,1,0,0
abs,extracted,1,1,1,0,0
abs-svg-path,extracted,1,1,1,0,0
absinthe__socket,extracted,34,1,1,0,0
absolute,extracted,1,1,1,0,0
absolute-url,extracted-with-diagnostics,2,1,1,0,5
abstract-leveldown,extracted,54,1,1,0,0
abstract-things,extracted,28,1,1,0,0
acc-wizard,extracted,0,1,1,0,0
accedo__accedo-one,extracted,1,1,1,0,0
accept-language-parser,extracted,2,1,1,0,0
accepts,extracted-with-diagnostics,29,1,1,0,5
accounting,extracted,36,1,1,0,0
accumulator-hash,extracted-with-diagnostics,2,1,1,0,5
accurate-interval,extracted,2,1,1,0,0
ace,extracted,0,1,1,0,0
ace-diff,extracted,10,1,1,0,0
ackee-tracker,extracted,10,1,1,0,0
acl,extracted-with-diagnostics,78,1,1,0,7
actioncable,extracted,11,1,1,0,0
activedirectory2,extracted-with-diagnostics,52,1,1,0,5
activestorage,extracted,3,1,1,0,0
activex-access,extracted-with-diagnostics,0,1,1,0,2
activex-adodb,extracted-with-diagnostics,0,1,1,0,2
activex-adox,extracted-with-diagnostics,0,1,1,0,2
activex-dao,extracted-with-diagnostics,0,1,1,0,2
activex-diskquota,extracted-with-diagnostics,0,1,1,0,2
activex-excel,extracted-with-diagnostics,0,1,1,0,2
activex-faxcomexlib,extracted-with-diagnostics,0,1,1,0,2
activex-infopath,extracted-with-diagnostics,0,1,1,0,2
activex-interop,extracted-with-diagnostics,0,1,1,0,2
activex-iwshruntimelibrary,extracted-with-diagnostics,0,1,1,0,2
activex-libreoffice,extracted-with-diagnostics,0,1,1,0,2
activex-msforms,extracted-with-diagnostics,0,1,1,0,2
activex-mshtml,extracted,0,1,1,0,0
activex-msxml2,extracted-with-diagnostics,0,1,1,0,2
activex-office,extracted-with-diagnostics,0,1,1,0,2
activex-opendssengine,extracted-with-diagnostics,0,1,1,0,2
activex-outlook,extracted-with-diagnostics,0,1,1,0,2
activex-powerpoint,extracted-with-diagnostics,0,1,1,0,2
activex-scripting,extracted-with-diagnostics,0,1,1,0,2
activex-shdocvw,extracted-with-diagnostics,0,1,1,0,2
activex-shell,extracted-with-diagnostics,0,1,1,0,2
activex-stdole,extracted-with-diagnostics,0,1,1,0,2
activex-vbide,extracted-with-diagnostics,0,1,1,0,2
