metric,count
totalExportedCallableDeclarations,172156
exportSignaturePairs,1871316
distinctCallableExports,1513756
declarationsWithTypeParameters,23705
declarationsWithOwnTypeParameters,10199
declarationsWithBothPolarities,2603
packagesWithExports,6803
packagesWithTypeParameters,2442
packagesWithBothPolarities,792
genericOnlyThroughEnclosing,12968
firstOrderPotentialDeclarations,276
obtainableRuntimePackages,0
verifiedExecutableExports,0
identity,768
container-element,87
value-to-container,30
multiple-arguments,216
constrained-generic,568
higher-order,1733
overload-or-discriminated,36554
unsupported,157818
