metric,count
totalExportedCallableDeclarations,3366
exportSignaturePairs,8585
distinctCallableExports,5236
declarationsWithTypeParameters,2879
declarationsWithOwnTypeParameters,1572
declarationsWithBothPolarities,580
packagesWithExports,6
packagesWithTypeParameters,6
packagesWithBothPolarities,6
genericOnlyThroughEnclosing,1266
firstOrderPotentialDeclarations,11
obtainableRuntimePackages,0
verifiedExecutableExports,0
identity,96
container-element,2
value-to-container,4
multiple-arguments,27
constrained-generic,55
higher-order,506
overload-or-discriminated,1964
unsupported,2835
